"","gene","orf","no..of.probes","measurments","F.statistic","X.log.p.value.","difference","YPD","YPDGE","YPG","YPE","YPL","YPD0.1DNP","YPD0.25DNP","YPG0.25DNP","YPG0.1DNP"
"23","lte1","YAL024C",4,76,31.63253,18.54655,0.20426,0.97886,0.80265,0.92033,0.77461,0.93144,0.9731,0.94316,0.86527,0.90318
"24","mak16","YAL025C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","DRS2","YAL026C",2,38,34.31125,11.46912,0.14095,0.89684,0.86548,0.78087,0.75589,0.85488,0.86825,0.85207,0.78345,0.76301
"26","YAL027W","YAL027W",2,38,5.76683,3.59822,0.04712,0.98596,0.99737,1.02093,1.03308,1.01512,1.01571,1.02941,1.0186,1.00879
"27","YAL028W","YAL028W",2,38,3.33007,2.05256,0.03152,1.01157,1.0179,1.0306,1.03326,1.0198,1.01083,1.0196,1.02791,1.00175
"28","MYO4","YAL029C",2,38,2.02351,1.0871,0.03692,1.00428,1.01783,0.99637,1.00684,0.98776,0.99772,0.9928,0.99129,0.98091
"29","SNC1","YAL030W",2,38,2.25132,1.26017,0.02832,1.00796,1.01777,1.0197,1.02867,1.00962,1.00543,1.01233,1.01303,1.00035
"30","FUN21","YAL031C",2,38,1.15017,0.4393,0.02107,0.99106,1.00098,1.00547,1.01153,1.00894,1.01186,1.01213,1.0106,0.99457
"31","PRP45","YAL032C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","POP5","YAL033W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","FUN19","YAL034C",2,38,4.1195,2.59106,0.05255,0.99624,1.01227,1.03376,1.03238,1.01603,0.99839,0.98142,1.03397,1.0113
"34","MTW1","YAL034W-A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","YAL035C-A","YAL035C-A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","FUN12","YAL035W",2,27,3.1033,1.5903,0.13019,0.64764,0.77655,0.7382,0.71836,0.75025,0.64636,0.73646,0.73274,0.738
"37","FUN11","YAL036C",2,38,6.95959,4.24129,0.03719,1.02996,1.02481,1.01876,1.02171,0.99617,1.00674,0.99953,1.01216,0.99277
"38","YAL037W","YAL037W",2,38,2.8323,1.69411,0.02296,1.00277,1.00957,1.01534,1.00938,1.01524,1.01415,0.99238,1.01479,1.01068
"39","cdc19","YAL038W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","cyc3","YAL039C",2,31,40.45877,9.96554,0.62918,0.94221,0.84353,0.49905,0.49971,0.53308,0.93542,0.89053,0.31303,0.36949
"41","cln3","YAL040C",2,38,5.18169,3.25752,0.05286,0.98117,0.99043,1.03245,1.0127,0.99782,0.98025,0.97959,1.00733,0.99617
"42","cdc24","YAL041W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ERV46","YAL042W",2,38,5.77253,3.60145,0.03252,1.01203,1.01453,1.01376,1.01118,0.99073,1.00216,0.98877,1.00867,0.98201
"44","pta1","YAL043C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","YAL043C-A","YAL043C-A",2,38,4.80825,3.03053,0.03322,1.01259,1.00876,1.01102,1.01854,0.99395,1.01484,0.98683,1.00571,0.98532
"46","GCV3","YAL044C",2,28,33.28963,8.17589,0.41718,0.76267,0.79919,0.52358,0.5248,0.45758,0.76373,0.78785,0.38201,0.41968
"47","YAL045C","YAL045C",2,38,1.91717,1.00615,0.02326,1.01021,1.01562,1.0187,1.0039,1.0042,1.00731,1.00599,1.01124,0.99544
"48","YAL046C","YAL046C",2,38,3.6802,2.29604,0.04616,1.02227,1.0282,1.02784,1.05661,1.0241,1.01045,1.0255,1.03716,1.02155
"49","SPC72","YAL047C",3,34,8.95446,4.67342,0.21057,0.56104,0.71852,0.56745,0.53751,0.71342,0.61912,0.58177,0.50795,0.57878
"50","YAL048C","YAL048C",2,38,7.2855,4.40615,0.06066,0.96176,0.97518,0.99944,1.00291,0.95034,0.99507,1.011,0.99151,0.97706
"51","YAL049C","YAL049C",2,38,6.97396,4.24865,0.04973,1.01461,1.02034,1.0373,1.00797,1.00801,1.02171,0.98757,1.03405,1.00785
"52","OAF1","YAL051W",2,38,1.88696,0.98316,0.02253,1.0166,1.02013,1.01123,1.02127,1.00446,1.01193,1.01018,1.01564,0.99874
"53","YAL053W","YAL053W",2,38,5.38856,3.38,0.03494,1.00281,0.99178,0.97778,0.97235,0.99891,1.00729,0.98994,0.98696,0.97734
"54","acs1","YAL054C",4,76,5.07216,4.16254,0.05136,1.02651,1.01844,0.97514,1.00939,1.01479,1.00054,1.00788,1.00958,1.02196
"55","PEX22","YAL055W",2,38,4.14721,2.60928,0.02852,1.01598,1.00489,1.02582,1.02365,1.01769,0.9973,1.00537,1.02561,1.01502
"56","GPE2","YAL056W",2,38,4.87432,3.07125,0.03844,1.01732,1.0181,1.05322,1.02199,1.02749,1.01624,1.0182,1.02455,1.01478
"57","YAL058C-A","YAL058C-A",4,76,16.13744,11.95337,0.04789,0.96468,0.99612,0.97646,1.00549,1.00475,0.95941,0.9576,0.9884,1.00149
"58","CNE1","YAL058W",2,38,33.45034,11.3364,0.08056,0.9351,1.00898,0.99777,1.00853,1.01566,0.95157,0.94833,0.98614,0.97554
"59","ECM1","YAL059W",2,38,2.98138,1.80291,0.03154,0.96232,0.98127,0.94973,0.96264,0.97892,0.97298,0.96924,0.97765,0.9648
"60","YAL060W","YAL060W",2,38,3.0069,1.82142,0.02165,1.01012,1.01568,1.02209,1.01832,1.00455,1.00234,1.00611,1.01626,1.00044
"61","YAL061W","YAL061W",2,38,3.21907,1.97385,0.02911,1.0279,1.02375,1.03198,1.02606,1.00883,1.00287,1.01691,1.02484,1.00945
"62","GDH3","YAL062W",2,38,2.79839,1.6692,0.02639,1.02219,1.01636,1.02568,1.02273,1.00939,0.99929,1.00691,1.02168,1.00418
"63","YAL064C-A","YAL064C-A",4,76,3.67888,2.85055,0.02902,1.00791,1.00921,1.01481,0.99919,1.00265,1.00126,0.98579,1.01093,1.00398
"64","YAL065C","YAL065C",2,38,3.19433,1.95621,0.03009,0.99329,1.01047,1.01639,0.98901,0.99994,1.00006,0.98832,1.00886,0.98631
"65","YAL066W","YAL066W",2,38,6.72331,4.11899,0.04542,1.01473,1.02722,1.01229,0.99413,0.9966,0.98658,0.9818,1.00978,0.98489
"66","SEO1","YAL067C",2,38,2.11391,1.15587,0.02762,1.00597,1.01624,1.021,1.01496,1.00408,1.02046,1.00662,1.0317,1.02181
"67","YAL068C","YAL068C",2,38,4.75062,2.99481,0.02762,1.00298,1.01373,1.02301,1.01339,0.99539,1.0163,0.99657,1.02245,1.00032
"68","ERP1","YAR002C-A",4,76,6.13616,5.10892,0.02994,1.03435,1.03095,1.04002,1.03342,1.03025,1.01016,1.01008,1.03682,1.03243
"69","NUP60","YAR002W",2,38,165.38477,20.16989,0.26288,0.8094,0.96767,1.05577,1.01145,1.01366,0.79289,0.8034,1.04195,1.02713
"70","YAR003W","YAR003W",2,38,29.03235,10.60377,0.09957,1.01908,1.01415,0.96328,0.98956,0.98605,1.00442,0.98243,0.97743,0.9195
"71","RFA1","YAR007C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","SEN34","YAR008W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","BUD14","YAR014C",2,38,17.9104,8.21429,0.09069,0.96366,0.94543,0.91256,0.9598,0.90701,0.9472,0.96259,0.90141,0.87297
"74","ade1","YAR015W",2,38,7.95588,4.73206,0.05512,0.97063,0.9297,0.98253,0.97915,0.9468,0.97473,0.98134,0.92741,0.94253
"75","KIN3","YAR018C",2,38,19.51024,8.62354,0.09903,0.96049,0.92976,0.86533,0.96436,0.91385,0.93615,0.93007,0.87719,0.87284
"76","cdc15","YAR019C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","PAU7","YAR020C",2,38,3.06595,1.8641,0.02964,1.00077,1.00898,1.02236,1.03041,1.01778,1.01459,1.02335,1.02196,1.00909
"78","YAR023C","YAR023C",2,38,2.7564,1.63826,0.02732,1.03787,1.032,1.03982,1.04385,1.02341,1.02573,1.03331,1.04324,1.01653
"79","YAR027W","YAR027W",2,38,2.26173,1.26805,0.02895,1.03826,1.02641,1.02907,1.0433,1.01745,1.02585,1.03566,1.02998,1.01435
"80","YAR028W","YAR028W",2,38,0.82351,0.22973,0.02125,1.00542,1.00424,1.02074,1.00582,1.00606,1.01761,1.00359,1.02017,0.99949
"81","YAR029W","YAR029W",2,38,2.63363,1.54734,0.03227,1.02254,1.02661,1.04277,1.05018,1.02452,1.01791,1.03842,1.04247,1.02356
"82","YAR030C","YAR030C",2,38,3.36134,2.07461,0.03788,0.99639,1.00607,1.02568,1.03427,1.01298,1.01827,1.03273,1.02109,1.00898
"83","PRM9","YAR031W",2,38,1.66558,0.81533,0.03368,1.00253,1.00734,1.02802,1.03164,1.02001,1.02035,1.03621,1.02928,1.01702
"84","YAT1","YAR035W",2,38,1.16874,0.45215,0.02437,1.0047,1.01478,1.02907,1.02575,1.01347,1.01567,1.01562,1.02774,1.0067
"85","YAR037W","YAR037W",2,38,2.04053,1.10005,0.02973,1.01011,1.01511,1.03013,1.02788,1.01722,1.00873,1.02097,1.02395,1.0004
"86","YAR040C","YAR040C",2,38,1.51962,0.7059,0.02174,0.99891,1.00412,1.0195,1.00833,1.01393,1.01108,1.00877,1.01851,0.99775
"87","SWH1","YAR042W",2,38,5.91904,3.68399,0.04612,0.97446,0.98673,1.01475,1.01808,1.01357,1.01703,1.02057,1.01739,1.01072
"88","YAR043C","YAR043C",2,38,5.6887,3.55374,0.06328,1.02934,1.03845,1.0406,1.0478,1.0455,1.00109,1.0024,1.06438,1.02796
"89","OSH1","YAR044W",2,38,3.44624,2.13417,0.04017,1.01058,1.01381,1.02179,1.0115,1.02462,1.01739,0.98969,1.02986,1.007
"90","YAR047C","YAR047C",2,38,1.60893,0.77269,0.01649,1.01627,1.02038,1.01565,1.01418,1.01076,1.00826,1.00671,1.0232,1.0085
"91","FLO1","YAR050W",4,76,2.72931,1.92323,0.02524,0.99707,1.00854,1.0075,1.02231,1.00647,1.00228,1.00944,1.00036,1.01029
"92","ECM15","YBL001C",4,76,1.80766,1.03516,0.02201,1.01254,1.00976,1.02609,1.01129,1.00408,1.01112,1.00697,1.01791,1.00963
"93","HTB2","YBL002W",4,76,3.40886,2.58843,0.03365,1.03508,1.03151,1.04252,1.0489,1.03243,1.02185,1.03567,1.05551,1.04744
"94","HTA2","YBL003C",4,76,1.57683,0.82438,0.02169,1.02873,1.02124,1.02141,1.0155,1.01742,1.0127,1.0095,1.03119,1.02388
"95","YBL004W","YBL004W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","pdr3","YBL005W",4,76,1.17432,0.48323,0.021,1.04035,1.02779,1.03432,1.03316,1.02814,1.02332,1.02793,1.04432,1.03774
"97","YBL006C","YBL006C",2,38,13.80169,7.01187,0.10543,1.00429,0.97785,1.02557,0.93222,1.03765,0.97608,0.98366,1.02753,1.03535
"98","SLA1","YBL007C",4,53,49.11432,17.55861,0.42814,0.77638,0.64865,0.42323,0.38873,0.42022,0.81686,0.73738,0.40297,0.4101
"99","HIR1","YBL008W",4,76,4.89655,4.00153,0.04191,1.01894,1.02149,0.97972,0.99146,1.01195,1.02163,1.01581,1.00876,0.99949
"100","YBL009W","YBL009W",4,76,1.45833,0.71979,0.02645,1.02049,1.01568,1.01686,1.00719,1.0072,1.01414,0.99946,1.02592,1.01528
"101","YBL010C","YBL010C",4,76,0.90933,0.28847,0.02166,1.02688,1.01761,1.01361,1.00522,1.01208,1.01456,1.01527,1.01407,1.00571
"102","SCT1","YBL011W",4,76,2.10687,1.31796,0.02519,1.00701,1.00698,1.00562,0.98181,0.99629,1.00096,0.99396,0.99691,0.99259
"103","YBL012C","YBL012C",4,76,1.27043,0.56065,0.01877,1.0014,0.99748,1.00174,0.99162,0.99669,1.00237,1.01039,0.99513,0.99822
"104","FMT1","YBL013W",2,38,19.18548,8.54273,0.14595,1.04046,1.04184,0.95473,0.94726,0.94316,1.02852,1.04659,0.91215,0.90064
"105","RRN6","YBL014C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","ACH1","YBL015W",4,76,2.0097,1.22522,0.02083,1.0286,1.0244,1.0206,1.02905,1.02923,1.01812,1.0342,1.02495,1.01338
"107","FUS3","YBL016W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","pep1","YBL017C",4,76,5.60293,4.64095,0.02658,1.01715,1.02434,0.99994,1.01216,0.99776,1.01688,1.01806,1.01376,1.00903
"109","POP8","YBL018C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","APN2","YBL019W",4,76,98.45387,31.90807,0.20981,0.97918,0.89338,0.91455,0.77423,0.83814,0.98404,0.9734,0.80587,0.83888
"111","rft1","YBL020W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","HAP3","YBL021C",4,70,225.43403,39.50669,0.4949,0.99916,0.92723,0.5995,0.55306,0.62364,0.99519,0.98308,0.50426,0.54279
"113","PIM1","YBL022C",4,76,43.20021,21.99098,0.1157,0.96372,0.96477,1.03065,0.97002,1.03865,0.95216,0.92295,1.0052,1.00372
"114","mcm2","YBL023C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","NCL1","YBL024W",3,53,2.84654,1.88492,0.03551,1.00937,1.01108,1.0248,1.02055,1.03223,1.00012,0.99672,1.02277,1.0155
"116","RRN10","YBL025W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LSM2","YBL026W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","RPL19B","YBL027W",2,38,10.99137,6.02255,0.06003,0.87551,0.87458,0.86694,0.88497,0.92538,0.87857,0.86535,0.87411,0.89679
"119","YBL028C","YBL028C",4,76,3.00949,2.19798,0.02933,1.03784,1.03594,1.03354,1.04855,1.02631,1.01922,1.02958,1.04629,1.03508
"120","YBL029W","YBL029W",4,76,2.61863,1.81479,0.01888,1.00654,1.00655,1.01569,1.02395,1.00508,1.01518,1.00807,1.01348,1.01148
"121","pet9","YBL030C",1,19,2.4725,1.00131,0.06371,0.98645,1.02278,1.0368,1.03289,1.0318,1.0292,1.03142,1.03062,1.05016
"122","SHE1","YBL031W",4,76,30.22067,18.06033,0.07285,0.97923,0.98617,1.02967,1.00701,1.02811,0.98105,0.95681,1.02701,1.0223
"123","YBL032W","YBL032W",4,76,12.4473,9.78578,0.07556,0.99906,1.00168,1.04869,1.01959,1.01862,1.00522,0.97314,1.02715,1.01655
"124","rib1","YBL033C",2,20,2.83518,1.14984,0.16275,0.67773,0.7973,0.67579,0.6625,0.63455,0.68356,0.70125,0.6562,0.69016
"125","STU1","YBL034C",1,19,0.99556,0.3036,0.04538,1.00795,1.03085,1.05333,1.04389,1.03219,1.02924,1.01443,1.03333,1.03072
"126","POL12","YBL035C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","YBL036C","YBL036C",4,76,2.97898,2.16806,0.01612,1.01001,1.01763,1.02613,1.02524,1.0111,1.0115,1.01503,1.02501,1.02233
"128","APL3","YBL037W",4,76,5.0914,4.1801,0.027,1.0268,1.02406,1.01045,1.0259,1.00595,1.01791,0.9998,1.022,1.01122
"129","MRPL16","YBL038W",4,61,65.60187,22.48568,0.54943,0.8282,0.66222,0.46929,0.32208,0.50849,0.82902,0.77477,0.2796,0.42826
"130","URA7","YBL039C",4,68,47.78957,21.29963,0.15533,0.81754,0.95008,0.87587,0.94202,0.86737,0.79475,0.81091,0.85232,0.85403
"131","ERD2","YBL040C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","PRE7","YBL041W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","FUI1","YBL042C",4,71,18.2129,12.54525,0.18367,0.96742,0.90918,0.87858,0.78502,0.96869,0.96033,0.92428,0.89384,0.88913
"134","ECM13","YBL043W",4,76,0.52093,0.07761,0.01411,1.01541,1.02083,1.02065,1.02254,1.01169,1.02358,1.02185,1.0258,1.02239
"135","YBL044W","YBL044W",4,76,0.92923,0.30196,0.01279,1.01781,1.02565,1.02657,1.03032,1.02056,1.01922,1.02463,1.0306,1.0258
"136","COR1","YBL045C",4,57,75.12397,22.38041,0.55931,0.84531,0.76231,0.41024,0.38837,0.50718,0.88142,0.8011,0.32211,0.41502
"137","YBL046W","YBL046W",4,76,18.93655,13.39996,0.08167,1.01141,1.02164,1.0717,1.05039,1.06959,1.00814,0.99701,1.07144,1.07867
"138","YBL047C","YBL047C",4,76,6.33556,5.28064,0.04545,1.00172,1.02739,0.98194,1.0124,1.00254,1.01461,1.00943,0.98808,0.99133
"139","YBL048W","YBL048W",4,76,4.09026,3.24565,0.02636,1.03243,1.03727,1.03605,1.0445,1.02129,1.01814,1.02114,1.03376,1.03703
"140","YBL049W","YBL049W",4,76,1.54512,0.79611,0.01391,1.008,1.01429,1.02186,1.01724,1.01487,1.01533,1.00795,1.01411,1.017
"141","SEC17","YBL050W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","YBL051C","YBL051C",4,76,30.1617,18.03964,0.09804,0.99619,1.00277,1.0221,0.92406,0.96763,1.00073,0.99327,0.96861,0.97773
"143","SAS3","YBL052C",4,76,5.22889,4.30511,0.03823,1.01464,1.02549,0.98726,1.01044,1.00393,1.01526,1.01086,1.01604,1.00015
"144","YBL053W","YBL053W",4,76,0.97311,0.33241,0.0157,1.00401,1.01597,1.01212,1.01082,1.00831,1.01334,1.00027,1.01346,1.01146
"145","YBL054W","YBL054W",2,38,5.10922,3.21407,0.03606,1.00217,1.01029,1.03769,1.01772,1.01498,1.00784,1.00163,1.02006,1.00654
"146","YBL055C","YBL055C",4,76,19.26464,13.56009,0.04977,1.00179,1.00202,0.98466,0.95384,0.97298,1.00361,0.99066,0.97475,0.97423
"147","PTC3","YBL056W",4,76,3.62444,2.79786,0.02464,0.9978,1.00496,1.0121,1.00917,0.99629,1.00491,0.98746,1.01006,1.01192
"148","YBL057C","YBL057C",4,76,2.27924,1.48405,0.02833,0.99641,1.00468,1.0133,1.00172,1.00423,1.00779,0.98991,1.01824,1.01599
"149","SHP1","YBL058W",3,50,31.81994,13.82618,0.28987,0.64084,0.65722,0.9307,0.69745,0.92944,0.65796,0.67229,0.84358,0.84801
"150","YBL059W","YBL059W",2,38,85.60769,16.43973,0.31354,0.98287,0.97094,0.88987,0.94393,0.66933,0.97946,0.97397,0.71792,0.71728
"151","YBL060W","YBL060W",4,76,5.98923,4.98124,0.04686,1.01801,1.03791,1.03766,1.0329,0.9997,1.02596,0.99543,1.0423,1.01642
"152","SKT5","YBL061C",4,76,1.49235,0.74952,0.0224,1.00225,1.00887,1.01726,0.99486,1.0055,1.00513,0.99935,1.00874,1.00599
"153","YBL062W","YBL062W",3,57,4.34165,3.21039,0.04469,1.01843,1.03725,1.02731,1.00248,0.99259,1.02385,0.99256,1.03505,1.00163
"154","KIP1","YBL063W",4,76,3.8377,3.00374,0.0301,1.01942,1.02849,1.02868,1.04664,1.01654,1.02737,1.02586,1.04051,1.03655
"155","YBL064C","YBL064C",4,76,2.74079,1.93447,0.01729,1.00743,1.0114,1.01281,1.00131,0.99552,1.00669,0.99593,1.0082,1.0047
"156","YBL065W","YBL065W",2,38,2.39049,1.36532,0.03417,0.99956,0.99557,0.97842,0.9679,0.98227,0.99699,0.98857,0.96539,0.97247
"157","SEF1","YBL066C",4,76,2.11097,1.3219,0.03634,1.00526,1.00469,0.99893,0.98097,0.99097,1.01731,0.99606,0.99126,0.99211
"158","UBP13","YBL067C",4,76,18.52416,13.19602,0.06476,0.98552,0.98641,0.92401,0.98091,0.9814,0.98877,0.96904,0.98154,0.97725
"159","PRS4","YBL068W",4,76,2.14467,1.35423,0.02086,1.00953,1.01444,1.02717,1.02793,1.02124,1.02243,1.0166,1.02794,1.03039
"160","AST1","YBL069W",4,76,1.91041,1.13128,0.01951,1.01823,1.02034,1.01574,1.03443,1.01492,1.01605,1.01515,1.02426,1.02112
"161","YBL070C","YBL070C",4,76,0.50552,0.07175,0.01284,1.00911,1.01421,1.00787,1.00743,1.00137,1.00959,1.00394,1.01246,1.00833
"162","YBL071C","YBL071C",3,57,2.21653,1.35839,0.03518,0.94298,0.97158,0.93829,0.94854,0.9364,0.93854,0.94014,0.95128,0.95683
"163","RPS8A","YBL072C",4,76,18.19367,13.0304,0.09167,0.88891,0.89798,0.94402,0.94057,0.93794,0.85236,0.85246,0.89976,0.93047
"164","YBL073W","YBL073W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","aar2","YBL074C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","SSA3","YBL075C",3,56,1.52196,0.75133,0.0438,1.03195,1.03439,1.03287,1.0588,1.02523,1.015,1.03982,1.04343,1.04216
"167","ils1","YBL076C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","YBL077W","YBL077W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","AUT7","YBL078C",4,76,0.87373,0.26488,0.01875,1.0155,1.01693,1.00216,1.01173,0.99817,1.00547,1.00718,1.00945,1.00957
"170","NUP170","YBL079W",4,76,9.78888,7.9912,0.06192,0.8168,0.8728,0.85062,0.84767,0.87624,0.82998,0.81432,0.83733,0.84881
"171","PET112","YBL080C",3,51,17.75312,10.08049,0.38744,0.98726,0.89206,0.65217,0.65537,0.65822,0.99256,0.92967,0.60512,0.65316
"172","YBL081W","YBL081W",4,75,4.72526,3.82896,0.04654,1.0138,1.01667,1.04166,1.05891,1.02968,1.01237,1.03666,1.04363,1.04357
"173","RHK1","YBL082C",2,38,5.7427,3.58451,0.02714,0.99907,0.99658,0.97193,0.99694,0.97786,0.99478,0.98471,0.98359,0.98341
"174","YBL083C","YBL083C",4,76,6.0207,5.00867,0.03881,0.9938,1.00251,1.00862,1.00731,1.0268,0.99856,0.98799,1.01921,1.0148
"175","cdc27","YBL084C",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","BOI1","YBL085W",4,76,2.96668,2.15601,0.03351,1.00652,1.01351,1.01683,1.03326,1.00935,0.99975,1.01981,1.01848,1.01694
"177","YBL086C","YBL086C",4,76,4.11284,3.26716,0.02513,1.04271,1.037,1.03356,1.0474,1.02228,1.02497,1.03306,1.03417,1.03419
"178","RPL23A","YBL087C",4,72,61.35944,25.02406,0.14148,0.88611,0.93292,0.98385,1.02223,0.9752,0.88075,0.89672,0.99444,0.98147
"179","tel1","YBL088C",4,76,1.98053,1.19752,0.02026,1.00826,1.012,1.01976,1.02075,1.01257,1.00129,1.0005,1.01649,1.00875
"180","YBL089W","YBL089W",4,76,22.91328,15.22671,0.16648,0.99894,0.94739,0.92904,0.87795,0.83833,0.99269,0.98623,0.83246,0.85865
"181","MRP21","YBL090W",4,52,61.58409,19.0003,0.44795,0.74991,0.59637,0.31862,0.30196,0.36899,0.74709,0.70733,0.30841,0.30871
"182","MAP2","YBL091C",4,76,2.84046,2.03221,0.0289,1.01077,1.01028,1.01815,0.99746,1.00279,1.00249,0.99378,1.02267,1.01653
"183","YBL091C-A","YBL091C-A",4,76,2.08553,1.29754,0.02341,1.01404,1.0071,1.00968,0.99685,1.01217,1.01294,0.9962,1.01961,1.00684
"184","RPL32","YBL092W",1,19,2.87618,1.16604,0.04913,1.05317,1.06219,1.05236,1.10149,1.06785,1.05805,1.07665,1.09189,1.09478
"185","ROX3","YBL093C",3,30,6.53262,3.32085,0.24448,0.61529,0.64,0.65614,0.70319,0.49248,0.54574,0.73267,0.73696,0.71859
