"","gene","orf","no..of.probes","measurments","F.statistic","X.log.p.value.","difference","YPD","YPDGE","YPG","YPE","YPL","YPD0.1DNP","YPD0.25DNP","YPG0.25DNP","YPG0.1DNP"
"1","TFC3","YAL001C",2,38,15.50591,7.5405,0.11455,0.9597,0.95836,0.90337,0.98943,0.95465,0.95747,0.94983,0.89955,0.87487
"2","VPS8","YAL002W",2,38,28.0689,10.43111,0.08092,0.97802,0.96782,0.92258,0.91409,0.99242,0.99501,0.98151,0.94691,0.91733
"3","EFB1","YAL003W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","YAL004W","YAL004W",2,38,6.73113,4.12308,0.06425,0.96693,0.97965,1.00193,1.01351,1.00102,1.01472,1.03118,1.0067,1.00145
"5","ssa1","YAL005C",2,38,5.84903,3.64468,0.04881,1.03032,1.03141,1.02439,1.05416,1.01044,1.02089,1.04714,1.03409,1.00535
"6","ERP2","YAL007C",2,38,4.65811,2.93707,0.03153,1.02833,1.03227,1.03532,1.04003,1.01296,1.01504,1.02302,1.0357,1.00849
"7","FUN14","YAL008W",2,38,2.69273,1.5912,0.02908,1.02191,1.02884,1.02238,1.02474,1.0174,1.01327,1.01218,1.03676,1.00768
"8","spo7","YAL009W",2,38,21.11494,9.00738,0.07776,0.94392,0.9784,0.91156,0.94523,0.96855,0.91848,0.90064,0.93291,0.90725
"9","mdm10","YAL010C",2,20,90.73792,6.96688,0.24727,0.5917,0.6162,0.53688,0.56483,0.50169,0.68581,0.70146,0.4542,0.49198
"10","YAL011W","YAL011W",2,38,13.06868,6.76921,0.11167,0.94218,0.93924,0.99516,0.8835,0.92068,0.92738,0.91994,0.94159,0.91562
"11","cys3","YAL012W",4,76,212.40277,41.82103,0.34296,0.93978,0.90389,0.61542,0.74735,0.86492,0.95838,0.92824,0.7954,0.73381
"12","DEP1","YAL013W",2,38,30.45043,10.84902,0.11397,0.96783,0.94957,0.86793,0.90308,0.93334,0.96076,0.9819,0.89834,0.87215
"13","YAL014C","YAL014C",2,38,2.10084,1.14593,0.02126,1.00352,1.00859,1.02138,1.02381,1.01041,1.01732,1.01286,1.01643,1.00255
"14","NTG1","YAL015C",2,38,3.13072,1.91069,0.03436,0.97563,0.99665,1.00059,0.98703,1.00346,0.99292,0.9691,0.99998,0.97638
"15","tpd3","YAL016W",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","FUN31","YAL017W",2,38,1.16406,0.44891,0.01632,0.99204,1.0011,1.00711,1.00465,1.00265,1.00836,0.99775,1.00362,0.99912
"17","YAL018C","YAL018C",2,38,7.96281,4.73534,0.04751,1.02535,1.00662,1.01162,1.00873,1.00021,1.00793,0.97784,1.02189,0.99034
"18","FUN30","YAL019W",2,38,4.2072,2.64856,0.04133,1.01152,1.00454,0.9824,0.97862,1.01995,1.00572,0.98149,0.99883,0.98013
"19","ATS1","YAL020C",2,38,13.78906,7.00777,0.06561,0.91087,0.93034,0.90155,0.91812,0.94109,0.89807,0.87838,0.94399,0.91429
"20","ccr4","YAL021C",2,38,34.81178,11.54493,0.17371,0.84282,0.93165,1.00299,0.95261,1.01653,0.87423,0.8547,0.97866,0.96309
"21","FUN26","YAL022C",2,38,4.16996,2.6242,0.03702,1.03612,1.03374,1.03041,1.0532,1.02133,1.01618,1.0279,1.0383,1.02123
"22","PMT2","YAL023C",2,38,12.74166,6.65768,0.08483,0.96201,0.97827,0.93589,0.98262,0.99379,0.94282,0.90896,0.9775,0.93636
