"ORF","myStddev","myMean","myCV"
"YLR331C",0.899928890498572,3.04500709753968,0.295542460714033
"YLR332W",0.241492915318347,8.14023152027489,0.0296665905283972
"YLR333C",0.314825619918979,9.792609803856,0.0321493071024857
"YLR334C",1.09769712538101,1.69601363718554,0.647221874467113
"YLR335W",0.205818575562569,7.50890702274712,0.0274099246320499
"YLR336C",0.332544954916434,6.44344269448569,0.0516098257847512
"YLR337C",0.666485669860453,7.70874163982776,0.0864584261608934
"YLR338W",0.652867903224628,1.60092194804202,0.407807453713223
"YLR339C",0.979102789110973,4.72280769199983,0.207313711030309
"YLR295C",0.1485119554162,11.1727234776029,0.0132923683033873
"YLR296W",0.425983629549593,4.75487301558245,0.0895888550868928
"YLR297W",0.352547492695391,8.32385961479247,0.0423538489367207
"YLR298C",0.316480004796627,7.08893889501945,0.0446441998560573
"YLR299W",0.389553835108093,7.96790855471936,0.0488903496360236
"YLR300W",0.340998583956774,10.3151836598663,0.0330579265673679
"YLR301W",0.245010800177152,8.30928591913567,0.0294863845776339
"YLR302C",0.849898508671682,1.31321079953796,0.647191227006898
"YLR303W",0.149175308939187,12.6622336532004,0.0117811211690508
"YLR304C",0.344541312475745,10.6910793277782,0.0322269905509482
"YLR305C",0.272726506154743,6.9090257035673,0.0394739458001911
"YLR306W",0.415153644995602,6.13397418947465,0.0676810224777223
"YLR307W",0.482082366506272,6.44912450426173,0.0747515986375671
"YLR308W",1.21838203780694,1.759441069406,0.692482436037641
"YLR309C",0.280451162098567,7.3627208795135,0.0380906959109251
"YLR310C",0.4815098307614,5.42235218265583,0.0888009141681313
"YLR311C",0.423724779958085,6.73393927330494,0.0629237601886074
"YLR312C",0.668461420470928,8.76953910093033,0.0762253765879227
"YLR313C",0.397268561948619,6.64605339910435,0.0597751083375521
"YLR314C",0.379499849677199,5.70583686001879,0.0665108132229265
"YLR315W",0.716689790861926,5.9606893922389,0.120236057224369
"YLR316C",0.341548618152785,7.75974378133398,0.0440154504810298
"YLR274W",0.341474279507216,7.01847246041059,0.0486536467063717
"YLR275W",0.404266420433967,5.9333741149171,0.0681343216531047
"YLR276C",0.460911498521803,8.05833707145183,0.0571968502229409
"YLR277C",0.197893242552709,7.02116885826179,0.0281852276376815
"YLR278C",0.288649076275458,5.95547671051248,0.0484678373044328
"YLR279W",0.784124791978214,5.66534482149279,0.138407249105731
"YLR280C",0.420445323933123,9.57615297220557,0.0439054519234865
"YLR281C",0.370029248039602,6.69311532006584,0.0552850549175898
"YLR282C",0.938570938731336,3.85798962235505,0.243279798704694
"YLR283W",0.545980386788978,4.89805134092396,0.111468898299866
"YLR284C",0.520075384271451,9.8963404330243,0.0525522932230533
"YLR285W",0.264268184355667,6.80116771863186,0.0388562957551689
"YLR286C",0.2050113272114,10.9883739391049,0.0186571123578
"YLR287C",0.499011724301626,5.04578289628583,0.0988967885774369
"YLR287C-A",0.148010682332083,12.4195175021872,0.0119175871611774
"YLR288C",0.204551013385442,7.04279273516207,0.0290440200467911
"YLR289W",0.475528821958174,6.05084126014417,0.0785888773996434
"YLR290C",0.274611085249714,8.88388592435246,0.0309111449187964
"YLR291C",0.301746256519163,7.41028223519099,0.040719941149635
"YLR292C",0.29718810803586,8.35201255162567,0.0355828138665829
"YLR293C",0.439470581497447,9.93494878243991,0.0442348109810304
"YLR294C",0.220534801869964,11.4788599406531,0.0192122565315852
"YLR253W",0.240630360624287,8.25595635847476,0.0291462733299551
"YLR254C",0.290500397114855,8.81233151177786,0.0329652143393148
"YLR255C",0.923703906005899,3.41599471312132,0.270405543210539
"YLR256W",0.217376082743464,7.16563339102901,0.0303359202015005
"YLR257W",0.326880594727124,9.46867441945442,0.0345223185682161
"YLR258W",0.487406337319926,8.33697149588434,0.0584632366274181
"YLR259C",0.258080580893699,11.7534497544624,0.021957858014896
"YLR260W",0.21197698665244,7.72863103027277,0.02742749470406
"YLR261C",0.218982323120225,7.18883419440614,0.0304614513561354
"YLR262C",0.574488923021033,5.67326967021858,0.10126240359008
"YLR262C-A",0.317242969323721,8.46519969117336,0.0374761353420298
"YLR263W",0.402773256742122,5.30577048737395,0.0759123029728847
"YLR264W",0.288395280273125,11.9982108303386,0.0240365238076907
"YLR265C",0.373578808694339,5.33134479572344,0.0700721530886553
"YLR266C",0.527879977257458,5.01979286370674,0.105159713077814
"YLR267W",0.496744370767472,4.38310209527923,0.113331690654088
"YLR268W",0.390153360964323,6.41394222223694,0.0608289484759737
"YLR269C",1.39872343943378,2.16846413083119,0.645029548585448
"YLR270W",0.308995255840718,7.82359593574811,0.0394952983740937
"YLR271W",0.337234114233554,5.64542942844965,0.0597357771463925
"YLR272C",0.296272143246213,5.59495899094492,0.0529534074737117
"YLR273C",0.368127207057341,7.66650897752909,0.048017579857578
"YLR232W",0.574448071305356,3.58063243544473,0.160432013523333
